0.999968,-0.005072,-0.006115,-0.000230,0.005817,0.991661,0.128744,-0.003184,0.005411,-0.128776,0.991659,0.006819
0.999938,0.001297,0.011037,0.192200,-0.002571,0.993218,0.116235,0.010563,-0.010811,-0.116257,0.993160,0.001380
0.987851,0.137416,0.072580,0.464331,-0.143370,0.986062,0.084425,-0.120404,-0.059967,-0.093805,0.993783,-0.011679
0.988136,0.137939,0.067534,0.893872,-0.143086,0.986596,0.078448,-0.318439,-0.055808,-0.087180,0.994628,-0.012495
0.996538,0.073814,0.038250,1.295804,-0.076628,0.993986,0.078236,-0.518415,-0.032245,-0.080897,0.996201,-0.011954
0.970493,0.009937,0.240922,1.460371,-0.025463,0.997787,0.061416,-0.578642,-0.239779,-0.065738,0.968599,-0.018507
0.977799,-0.015629,0.208962,1.629544,-0.001739,0.996575,0.082675,-0.559730,-0.209538,-0.081203,0.974423,0.084508
0.977823,-0.103574,0.182030,1.830948,0.090335,0.992725,0.079599,-0.617901,-0.188951,-0.061390,0.980066,0.089505
0.970188,-0.165206,0.177320,2.130674,0.125374,0.968276,0.216156,-0.626864,-0.207405,-0.187480,0.960122,0.167081
0.987926,-0.153099,0.023735,2.370795,0.148339,0.978947,0.140208,-0.724453,-0.044701,-0.134994,0.989838,0.273965
0.985286,-0.147777,-0.085873,2.583817,0.162161,0.966999,0.196512,-0.745346,0.053999,-0.207546,0.976734,0.396099
0.995777,-0.072942,-0.055749,2.840059,0.084974,0.962157,0.258907,-0.767220,0.034754,-0.262551,0.964292,0.426860
0.996385,-0.074745,-0.040379,3.237268,0.081701,0.973344,0.214306,-0.677465,0.023285,-0.216831,0.975932,0.427015
0.996560,-0.079550,0.023227,3.691445,0.076532,0.990951,0.110265,-0.605843,-0.031789,-0.108108,0.993631,0.278870
0.990924,0.053109,0.123485,4.197937,-0.059177,0.997187,0.045999,-0.605886,-0.120694,-0.052889,0.991280,0.182887
0.995376,0.082579,0.049063,4.607755,-0.073838,0.984509,-0.159026,-0.477526,-0.061435,0.154668,0.986055,0.048716
